crid://crid_vod_01	18 Grams of Love 	Two men write anonymous love letters to test if their wives are faithful. When their wives actually respond, the two men are left in a fix of what to do.  	A Singaporean film, directed and written by Yew Kwang Han and produced by Boku Films, and stars Alaric Tay and Yeo Yann Yann, won the Bronze Award (3rd prize) for the Audience Choice Award and also came in 2nd in the Young Jury Award category at the 13th Lyon Asian Film Festival. Zihua and Ah Hui have been friends for a long time. They suspect that their wives are cheating on them.  In order to allay their suspicions, they decide to ‘test’ their wives by having the other write a love letter to the other’s wife, to see if she will respond. But as Zihua and Ah Hui get caught up in their ploy, they start to ignore their own wives.  Subsequently, their lonely wives also start to respond to the love letters that they received. One day, Zihua’s wife writes back to Ah Hui and proposes a meeting in a love hotel.	（C）2007 Boku Films. All Rights Reserved.	（C）2007 Boku Films. All Rights Reserved.	thumb/movie_00001_20090422_iptv_mid.jpg	thumb/movie_00001_20090422_iptv_big.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxeaeeba	
crid://crid_vod_02	愛情十八克	新加坡導演韓燿光以一部看似荒唐的黒色喜劇，指出現代社会夫妻関係的冷淡，与人際間的疎遠，獲2007裏昂亜洲影展公共大奨。.	The film子華与阿輝是15年的死党，他們同時懐疑妻子有外遇。於是由書店老板子華提議，体育老師阿輝附議，倆人各自書写「感性」与「性感」両種截然不同風格的情書， 来挑逗対方的妻子以試験其対愛情婚姻的忠誠度。没想到這箇瘋狂的点子却帯来一発不可収拾的後果，譲両対結婚多年的夫妻，不得不重新検視了他們的婚姻，而過 程中可謂咲料百出状況連連，最後両位男主角与不知情的太太們，四人酒店裏大攤牌、算総帳的戯，精彩極了…。本片表現了都市人在忙碌緊張的圧力下，如何保有一分難得的純真与夫妻間相処之道的哲学。片名由来：『一張信紙八公克，信封十公克，加起来総共十八公克』的宣言，藉由四位男女主角輾転授受的因果関係，更譲人発出会心的微笑。集編導於一身的新加坡導演：韓燿光，在本片裏示範了如何以最少的演員、最少的場景，演繹這箇現代愛情現形記。新加坡電影近年来以喜劇来写生活中的厳粛議題，已発展出別於其他華人電影的清新風格，頗値得期待与継続観察.	（C）2007 Boku Films. All Rights Reserved.	（C）2007 Boku Films. All Rights Reserved.	thumb/movie_00001_20090422_iptv_mid.jpg	thumb/movie_00001_20090422_iptv_big.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxeaeeba	
crid://crid_vod_03	The Pianist	Based on the autobiography of the same name by Jewish-Polish musician W?adys?aw Szpilman,the film won the Palme d'Or at the 2002 Cannes Film Festival, the Academy Awards for Best Director, Best Actor, and Best Adapted Screenplay.   	W?adys?aw Szpilman, a famous Polish Jewish pianist working for Warsaw Radio, sees his whole world collapse with the outbreak of World War II and the invasion of Poland on September 1, 1939. After the radio station is rocked by explosions from German bombing, Szpilman goes home and learns that Great Britain and France have declared war on Nazi Germany. He and his family rejoice, believing the war will end quickly. When the Nazis' armed SS organization occupies Warsaw after the regular army passes on, living conditions for the Jewish population gradually deteriorate as their rights are slowly eroded: first they are allowed only a limited amount of money per family, then they must wear armbands imprinted with the blue Star of David to identify themselves, and eventually, late in 1940, they are all forced into the squalid Warsaw Ghetto. 	(C)2002 R.P.PRODUCTIONS/HERITAGE FILMS/STUDIO BABELSBERG/RUNTEAM Ltd.	(C)2002 R.P.PRODUCTIONS/HERITAGE FILMS/STUDIO BABELSBERG/RUNTEAM Ltd.	thumb/movie_00003_20090422_iptv_mid.jpg	thumb/movie_00003_20090422_iptv_big.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxeabr9f	
crid://crid_vod_04	0:0:13.50	事情本来很簡単！	FIFA(国際サッカー連盟)、adidas、レアル・マドリード、ニューカッスル・ユナイテッドがタッグを組み、空前のスケールと驚愕のリアリティで映画化された『ＧＯＡＬ！』。三部作の第一章となる本作の舞台は、サッカーの母国イングランドのプレミア・リーグ。アメリカからイングランドへと渡り、ニューカッスル・ユナイテッドに入団した青年サンティアゴは、チームのため、家族や恋人のため最高のゴールを決めることができるのか！？	（0:0:17.00;	（C）Goal Limited 2005	thumb/movie_00004_20090422_iptv_mid.jpg	thumb/movie_00004_20090422_iptv_big.jpg		
crid://crid_vod_05	0:0:19.50	事情開始復雑了.た	イングランド・プレミアリーグのニューカッスル・ユナイテッドVSリヴァプールの一戦。見事なフリーキックで決勝点を決めたサンティアゴ（クノ・ベッカー）―その姿が、ある会議室のモニターに映し出され、机には活躍を報じる数々の記事が積まれている…。サンティ本人はいつものようにニューカッスルの海岸をランニングしている。彼は今やすっかりこの街のヒーローだ。婚約者のロズ（アンナ・フリエル）の待つ自宅では、結婚式の計画が着々と整っている。その夜、ロズの母キャロル（フランシス・バーバー）や友人の元選手ジェイミー（ケヴィン・ナップマン）らとの食事中、サンティを見出したエージェントのグレン（スティーヴン・ディレイン）がやって来る。なんとスペインの強豪、レアルマドリッドから移籍の話が飛び込んできたというのだ。サンティは驚くが、ひとまずアジアツアー中のレアルの話を聞くため東京に向かうのであった…。	（0:0:21.50	（C）Goal2 Limited,Scion Films Premier(Second)Limited Partnership,Goal Productions  Limited,Babelsberg Production Service GmbH and Impala S.A and Anola S.L	thumb/movie_00005_20090422_iptv_mid.jpg	thumb/movie_00005_20090422_iptv_big.jpg		
crid://crid_vod_06	江ノ島電鉄　１００周年　江ノ電の車窓から	全長およそ１０Ｋｍ所要時間にして３４分程、古都鎌倉から藤沢までを走行する江ノ電も２００２年で１００年を迎え、様々な人たちの足として活躍しています。そんな「江ノ電ワールド」をお楽しみ下さい！湘南海岸公園 江ノ電 七里ヶ浜 由比ヶ浜 車窓 江ノ島電鉄 鎌倉高校前 極楽寺 鎌倉 江ノ島 稲村ヶ崎 藤沢	全長およそ１０Ｋｍ所要時間にして３４分程、古都鎌倉から藤沢までを走行する江ノ電も２００２年で１００年を迎え、様々な人たちの足として活躍しています。そんな「江ノ電ワールド」をお楽しみ下さい！湘南海岸公園 江ノ電 七里ヶ浜 由比ヶ浜 車窓 江ノ島電鉄 鎌倉高校前 極楽寺 鎌倉 江ノ島 稲村ヶ崎 藤沢	(C)アドメディア	(C)アドメディア	thumb/hobby_00004_20090520_iptv_mid.jpg	thumb/hobby_00004_20090520_iptv_big.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxeaagr4	
crid://crid_vod_07	Le Chevalier D'Eon　第1話	In Paris 1742, when the body of a woman named Lia de Beaumont is found in a casket floating along the Seine.[5] The only clue regarding her death is the word "Psalms", which is written in blood on the lid of the casket. D'Eon de Beaumont, Lia's younger brother and a knight in service of King Louis XV, takes it upon himself to investigate his sister's mysterious death, along with the strange disappearances of a number of French women. In his journey he comes across three companions to help him.	《双面騎士》（Chevalier:Le Chevalier D'Eon）是以沖方丁的歴史奇幻小説為基礎而改編的作品，有動画、小説、漫画多個版本，動画由Production I.G製作，共有24集。以歴史上実際存在的外交官的Chevalier d'Eon作為主角，詳尽的考証18世紀欧洲的国際情勢与煉金術等所謂的神秘学，創造虚実交錯的世界観。主角迪安．徳．波蒙為法国的騎士，姉姉麗雅．徳．波蒙也効忠於法国王室。但是有一天麗雅的屍体在河中被発現，死因並不単純，彷彿牽連一些重大的陰謀。於是迪安為了尋找殺死姉姉的凶手而踏上旅途…	（C）冲方丁・Production I..G ｢シュヴァリエ｣ 製作委員会2006	（C）冲方丁・Production I..G ｢シュヴァリエ｣ 製作委員会2006	thumb/anime_00001_20090422_iptv_mid.jpg	thumb/anime_00001_20090422_iptv_big.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxea9z3c	
crid://crid_vod_08	【No.1】so far, so good. 「今のところはいい」	「今のところはいい」あなたはこれを英語で言えますか？本コンテンツでは、ショーンKが実際のビジネスシーンを想定し、フレーズの利用シーンや内容を分かりやすくご紹介しています。他にも「責任をとる」など、今すぐ使えるお役立ち表現満載です！	「今のところはいい」あなたはこれを英語で言えますか？本コンテンツでは、ショーンKが実際のビジネスシーンを想定し、フレーズの利用シーンや内容を分かりやすくご紹介しています。他にも「責任をとる」など、今すぐ使えるお役立ち表現満載です！	(C)ALC Press Inc. All rights reserved.	(C)ALC Press Inc. All rights reserved.	thumb/english_00001_20090422_iptv_mid.jpg	thumb/english_00001_20090422_iptv_big.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxe9s1ll	
crid://crid_vod_09	【No.2】the green light 「許可する」	「許可する」あなたはこれを英語で言えますか？本コンテンツでは、ショーンKが実際のビジネスシーンを想定し、フレーズの利用シーンや内容を分かりやすくご紹介しています。他にも「責任をとる」など、今すぐ使えるお役立ち表現満載です！	「許可する」あなたはこれを英語で言えますか？本コンテンツでは、ショーンKが実際のビジネスシーンを想定し、フレーズの利用シーンや内容を分かりやすくご紹介しています。他にも「責任をとる」など、今すぐ使えるお役立ち表現満載です！	(C)ALC Press Inc. All rights reserved.	(C)ALC Press Inc. All rights reserved.	thumb/english_00002_20090422_iptv_mid.jpg	thumb/english_00002_20090422_iptv_big.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxeafo0e	
crid://crid_vod_10	江ノ島電鉄　中山テスト	全長およそ１０Ｋｍ所要時間にして３４分程、私も大好きな電車です。短い概要。	古都鎌倉から藤沢までを走行する江ノ電も２００２年で１００年を迎え、様々な人たちの足として活躍しています。えのでんショップで線路に沿って走る電車のおもちゃ買いました。	(C)アドメディア	(C)アドメディア	thumb/hobby_00004_20090520_iptv_mid_test.jpg	thumb/hobby_00004_20090520_iptv_big_test.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxfrp1oq	
crid://crid_19822	No difference in symptoms of H1N1 flu and seasonal flu. Death toll at 113 as H1N1 flu spreads to Venezuela Paraguay.	dr koh chong cheng, runs, bedok south, aches, test, virus, virus, doctor advice, doctor, rat ate, dr koh, virus, dr koh, virus	ree ck ir new ommon ou koh chong uns anamera dr koh chong cheng runs namera bedok south atient ough thr aches oni ught tc nd test ht virus ou nce doc advi virus ou nce doctor advice ur doctor rat ate ording dr koh ent overed virus ac ording dr koh pat ent hes vered ht virus cr sh ng rus contact people inistry try ng contact people	Copyright(c)19822 short	Copyright(c)19822 long	thumb/19822_00M.jpg	thumb/19822_00L.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxfrp1oq	
crid://crid_19988	Singaporeans concerned but calm as H1N1 virus arrives on country's shores. Singapore's first H1N1 patient is an SMU student.	new york, singapore case student, singapore, university student, trip new york tested positive, virus tuesday night, students	ere cont tes ed new york ng singapore case student sing pore se singapore geme university student udy trip new york tested positive ht virus tuesday night sing pore ase king students concern making dlines smu hoped ex ms wh mo mind thought going stud nt ck returned singapore worker erned spread virus spread virus campus sc ho ried bout tc si worried bout thi tc si ver pre ou nct sca ed government capable handling ht	Copyright(c) 19988 short	CopyRight(c) 19988 long	thumb/19988_00M.jpg	thumb/19988_00L.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxfrp1oq	
crid://crid_17449	H1N1 flu vaccine ready for clinical trials. British H1N1 flu fatality is first outside Americas.	set second, virus country asia pacific region recorded cases level days people measures like sports events schools	stan set second h. virus country asia pacific region recorded cases level days people measures like sports events schools	Copyright(c) 17449 short	Copyright(c) 17449 long	thumb/17449_00M.jpg	thumb/17449_00L.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxfrp1oq	
crid://crid_17491	H1N1 flu vaccine ready for clinical trials. Ahmadinejad defiant as defeated rival protests vote.	addition investigating mean did fully region come reached power ran lives problem authorities consider close country's company	addition investigating mean did fully region come reached power ran lives problem authorities consider close country's company high led close season country city	Copyright(c) 17491 short	Copyright(c) 17491 long	thumb/17491_00M.jpg	thumb/17491_00L.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxfrp1oq	
crid://crid_17496	H1N1 flu vaccine ready for clinical trials. Ahmadinejad Mousavi both claim victory in Iran poll.	right adopt second child received southern african states news year old know know country communities know told year old says	right adopt second child received southern african states news year old know know country communities know told year old says child according space following death close adopting	CopyRight(c) 17496 short	Copyright(c) 17496 long	thumb/17496_00M.jpg	thumb/17496_00L.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxfrp1oq	
crid://crid_vod_11	江ノ島電鉄　長尾2テスト	短い概要。CID取得成功、付与 after CID管理Webへのアクセスに失敗	長い概要。CID取得に成功したのでURLに設定。前日はCID管理Webへアクセスしようとすると、「サーバーが見つかりません」「ページを表示できません」「Connection refused」になってしまう...とりあえず他のCIDを流用して登録のテスト。	(C)アドメディア	(C)アドメディア	thumb/jntest2_m.jpg	thumb/jntest2_l.jpg	http://htvl-pgw.iptvf.jp:12345/pgw/resolvecontent?contract_id=1234567890&purchase_id=1234567890&promo=on&crypt=no&drmid=100400000005ee98&cid=00fxplw21d	
