すべて	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.1	1.3.1	sort_channel_asc
ニュース／報道	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.2	1.3.2	sort_channel_asc
スポーツ	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.3	1.3.3	sort_channel_asc
情報／ワイドショー	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.4	1.3.4	sort_channel_asc
ドラマ	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.5	1.3.5	sort_channel_asc
音楽	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.6	1.3.6	sort_channel_asc
バラエティ	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.7	1.3.7	sort_channel_asc
映画	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.8	1.3.8	sort_channel_asc
アニメ／特撮	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.9	1.3.9	sort_channel_asc
ドキュメンタリー／教養	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.10	1.3.10	sort_channel_asc
劇場／公演	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.11	1.3.11	sort_channel_asc
趣味／教育	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.12	1.3.12	sort_channel_asc
福祉	urn:IPTVService:cs:NTT:NavigationCS:2006:03:1.3.13	1.3.13	sort_channel_asc